county,fips,state,lat,lng
Summit County,39153,Ohio,41.126,-81.5322
Pasco County,12101,Florida,28.3091,-82.3932
Guilford County,37081,North Carolina,36.0795,-79.7889
Montgomery County,39113,Ohio,39.7547,-84.2907
Kane County,17089,Illinois,41.9388,-88.4286
Chester County,42029,Pennsylvania,39.9731,-75.7484
Plymouth County,25023,Massachusetts,41.9512,-70.8114
Greenville County,45045,South Carolina,34.8941,-82.3706
Sedgwick County,20173,Kansas,37.6848,-97.461
Spokane County,53063,Washington,47.6207,-117.404
Adams County,8001,Colorado,39.8737,-104.3379
Camden County,34007,New Jersey,39.8035,-74.9597
Passaic County,34031,New Jersey,41.0343,-74.3008
Sonoma County,6097,California,38.5289,-122.8881
Morris County,34027,New Jersey,40.862,-74.5445
Lake County,18089,Indiana,41.4167,-87.3821
Polk County,19153,Iowa,41.6855,-93.5735
Clark County,53011,Washington,45.7791,-122.4826
Richmond County,36085,New York,40.5808,-74.1524
Ada County,16001,Idaho,43.4511,-116.2412
Prince William County,51153,Virginia,38.7029,-77.4809
Seminole County,12117,Florida,28.717,-81.2363
Hampden County,25013,Massachusetts,42.1351,-72.6316
Knox County,47093,Tennessee,35.9932,-83.9371
Washoe County,32031,Nevada,40.6656,-119.6643
Tulare County,6107,California,36.2202,-118.8005
Onondaga County,36067,New York,43.0058,-76.1946
Virginia Beach City,51810,Virginia,36.7335,-76.0435
York County,42133,Pennsylvania,39.92,-76.7265
Pinal County,4021,Arizona,32.9044,-111.3448
Burlington County,34005,New Jersey,39.8777,-74.6681
Santa Barbara County,6083,California,34.6729,-120.0169
Solano County,6095,California,38.27,-121.9329
East Baton Rouge Parish,22033,Louisiana,30.5383,-91.0956
Jefferson Parish,22051,Louisiana,29.7872,-90.1274
Monterey County,6053,California,36.2171,-121.2388
Lucas County,39095,Ohio,41.6197,-83.659
Sarasota County,12115,Florida,27.1845,-82.3315
Dakota County,27037,Minnesota,44.6719,-93.0654
Cameron County,48061,Texas,26.1333,-97.5182
Berks County,42011,Pennsylvania,40.4163,-75.926
Hillsborough County,33011,New Hampshire,42.9153,-71.7161
Clackamas County,41005,Oregon,45.188,-122.2209
Richland County,45079,South Carolina,34.0218,-80.9031
Mobile County,1097,Alabama,30.7872,-88.2058
Charleston County,45019,South Carolina,32.8346,-79.9531
Genesee County,26049,Michigan,43.0217,-83.7067
Loudoun County,51107,Virginia,39.0907,-77.6357
Waukesha County,55133,Wisconsin,43.0182,-88.3045
St. Charles County,29183,Missouri,38.782,-90.6749
Manatee County,12081,Florida,27.4719,-82.3153
Pulaski County,5119,Arkansas,34.77,-92.312
Placer County,6061,California,39.0634,-120.7177
Orleans Parish,22071,Louisiana,30.0687,-89.9288
Butler County,39017,Ohio,39.4386,-84.5756
Orange County,36071,New York,41.4021,-74.3056
Collier County,12021,Florida,26.1107,-81.3475
Forsyth County,37067,North Carolina,36.1306,-80.2563
Lane County,41039,Oregon,43.9387,-122.8479
Allen County,18003,Indiana,41.0909,-85.0666
Stark County,39151,Ohio,40.8139,-81.3656
Washtenaw County,26161,Michigan,42.2532,-83.8388
Mercer County,34021,New Jersey,40.2834,-74.7018
Brazoria County,48039,Texas,29.1897,-95.4521
Madison County,1089,Alabama,34.7631,-86.5502
Lehigh County,42077,Pennsylvania,40.6127,-75.5924
Hamilton County,47065,Tennessee,35.1808,-85.1648
Osceola County,12097,Florida,28.0626,-81.1495
Nueces County,48355,Texas,27.7254,-97.6134
Marion County,12083,Florida,29.2102,-82.0567
Lake County,12069,Florida,28.7615,-81.7113
Bell County,48027,Texas,31.0373,-97.4788
Anoka County,27003,Minnesota,45.2733,-93.2465
Davis County,49011,Utah,40.99,-112.1115
Westmoreland County,42129,Pennsylvania,40.3109,-79.4668
Larimer County,8069,Colorado,40.6664,-105.4612
Chesterfield County,51041,Virginia,37.3785,-77.587
Douglas County,8035,Colorado,39.3297,-104.9296
Horry County,45051,South Carolina,33.9214,-78.9966
Marion County,41047,Oregon,44.9033,-122.5846
Galveston County,48167,Texas,29.3945,-94.9635
Cumberland County,37051,North Carolina,35.0487,-78.8277
Hamilton County,18057,Indiana,40.0725,-86.052
Somerset County,34035,New Jersey,40.5635,-74.6163
Henrico County,51087,Virginia,37.538,-77.4058
Rockland County,36087,New York,41.1524,-74.0241
Boulder County,8013,Colorado,40.0925,-105.3577
Rutherford County,47149,Tennessee,35.8427,-86.4167
Howard County,24027,Maryland,39.2507,-76.9312
Fayette County,21067,Kentucky,38.0423,-84.4587
St. Lucie County,12111,Florida,27.3772,-80.472
Durham County,37063,North Carolina,36.036,-78.8766
Luzerne County,42079,Pennsylvania,41.177,-75.9891
Escambia County,12033,Florida,30.669,-87.363
Lancaster County,31109,Nebraska,40.7842,-96.6878
Weld County,8123,Colorado,40.5548,-104.3925
Spartanburg County,45083,South Carolina,34.9309,-81.9908
Lorain County,39093,Ohio,41.2956,-82.151
Lubbock County,48303,Texas,33.6102,-101.8205
Rockingham County,33015,New Hampshire,42.9876,-71.1254
McHenry County,17111,Illinois,42.3244,-88.4523
Albany County,36001,New York,42.6002,-73.9736
St. Louis City,29510,Missouri,38.6359,-90.2451
Northampton County,42095,Pennsylvania,40.7542,-75.3076
Lexington County,45063,South Carolina,33.9023,-81.2722
Cumberland County,23005,Maine,43.8465,-70.399
Dutchess County,36027,New York,41.7651,-73.7429
Anchorage Municipality,2020,Alaska,61.1508,-149.1091
Leon County,12073,Florida,30.458,-84.2779
Gloucester County,34015,New Jersey,39.7173,-75.1414
Greene County,29077,Missouri,37.258,-93.342
Ingham County,26065,Michigan,42.5971,-84.3735
Chatham County,13051,Georgia,32.0043,-81.1329
Ottawa County,26139,Michigan,42.9598,-85.9961
Clayton County,13063,Georgia,33.5419,-84.3577
Thurston County,53067,Washington,46.9258,-122.8332
Winnebago County,17201,Illinois,42.3363,-89.1609
San Luis Obispo County,6079,California,35.3871,-120.4044
Cleveland County,40027,Oklahoma,35.2031,-97.3265
Dauphin County,42043,Pennsylvania,40.4154,-76.7795
Webb County,48479,Texas,27.7611,-99.3316
York County,45091,South Carolina,34.9748,-81.1845
